,AP,AK,pH,TN,HA,HA_FA_rate,TDN,OC,DOC,C_N_rate,Clay,Fed,Ald,Feo,Feo_Fed_rate,Alo_Ald_rate,R,T
S001,35.40595204,967.9717928,7.196666667,3.751768159,16.56017965,0.766439658,31.54697694,4.307526216,628.9148206,11.48132303,2.194360296,1.91972676,2.537122272,4.452554216,2.319368729,1.952406316,506.2,0.5
S005,27.84913403,85.22385838,8.443333333,0.85835844,34.28752,1.862951606,16.35337297,0.927045827,158.4983375,10.80021799,14.24883094,0.974242085,1.287564118,1.102733078,1.131888157,0.825885547,415,4
S008,27.84913403,94.96209361,7.973333333,2.154112321,18.6643905,1.29460296,19.66659453,2.449494929,468.554123,11.37124979,27.00037506,2.448223094,3.047456444,1.776900499,0.725791903,0.823640793,523,4.3
S009,11.76332315,146.4960759,6.423333333,1.077283366,14.64679911,0.904133524,17.73226247,1.812958769,364.9786882,16.82898694,10.86598966,2.298517855,3.03773483,1.780760382,0.774742897,0.426051825,541.8,3.6
S010,15.91421006,100.8449203,6.45,2.077788179,22.8950204,2.721994018,35.31838929,3.095283248,458.0399992,14.89701057,6.025477542,1.881269969,2.48629755,1.588302372,0.844271369,0.819526656,546.5,4.5
S011,17.10875289,510.1296577,7.23,1.978174354,30.64344303,1.300190991,26.91127114,1.633554478,254.4390482,8.257889277,26.6017789,2.90557019,3.840018797,1.714969756,0.590235184,0.560184364,520.3,4.4
S013,9.117550944,112.6772149,9.036666667,2.424605788,16.88452577,0.898991839,28.21049489,1.383378041,128.9715655,5.705579225,17.06092201,1.0824358,1.423862175,0.990112366,0.914707705,0.853466935,470,4.9
S018,20.38288699,118.4936684,6.206666667,4.338209458,36.02137944,2.148142824,64.56337471,3.959573323,213.5740739,9.127206421,17.09485498,3.066178565,3.822960631,4.367884761,1.424536983,0.69991592,699.6,4.6
S019,52.75222327,405.404049,5.913333333,6.243646931,37.92360334,1.294794164,202.9730978,4.868426498,681.7566283,7.797408392,10.33966622,2.679965911,3.541858844,3.081951102,1.149996382,0.888044838,680,4.6
S021,9.710771855,106.5470373,6.9,1.346012662,15.94885601,0.708430401,27.26726495,1.257007817,194.1384795,9.338751795,11.5311068,16.44067198,2.636940406,1.806917462,0.109905329,0.93272522,804.2,6.6
