,Soil type,Vegetation,LONG,LAT,R,T,Moisture,AP,pH,FA,HA,HA_FA_rate,TN,TDN,OC,DOC,C_N_rate,AK,Clay,Silt,Sand,Fed,Ald,Feo,Alo,Feo_Fed_rate
S001,Phaeozem,temperate mixed coniferous-broadleaf forest,126.1247417,48.650925,506.2,0.5,6.52,35.40595204,7.196666667,21.60663202,16.56017965,0.766439658,3.751768159,31.54697694,4.307526216,628.9148206,11.48132303,967.9717928,2.194360296,45.87465731,51.93098239,1.91972676,2.537122272,4.452554216,4.953493549,231.9368729
S003,Phaeozem,temperate mixed coniferous-broadleaf forest,128.9026028,47.72203333,630,1,8.98,23.46645149,5.95,12.4691577,12.11304098,0.971440194,3.235552203,25.96685508,5.548931928,240.8717536,17.14987606,67.49490428,20.58783646,59.73238539,19.67977815,4.984603865,6.587682033,5.376551016,5.189189015,107.8631555
S004,Phaeozem,temperate mixed coniferous-broadleaf forest,130.2527167,47.33975278,640,3.43,4.13,12.08518198,6.88,28.18860414,27.63154753,0.980238234,0.789755063,18.77299893,0.723841784,432.2214338,9.165395934,59.66056025,6.389336738,20.47168955,73.13897371,2.046386223,2.70451617,2.030722803,1.896726863,99.23458144
S005,Phaeozem,temperate mixed coniferous-broadleaf forest,124.0023111,47.25391389,415,4,2.26,27.84913403,8.443333333,18.40494401,34.28752,1.862951606,0.85835844,16.35337297,0.927045827,158.4983375,10.80021799,85.22385838,14.24883094,13.29412598,72.45704308,0.974242085,1.287564118,1.102733078,1.063380596,113.1888157
S006,Phaeozem,temperate mixed coniferous-broadleaf forest,130.3672472,46.76163611,516.5,3.62,12.86,9.446841239,6.09,11.1630995,57.21234641,5.125130921,1.788566489,50.51227092,2.230131734,198.5476968,12.46882208,100.5260185,14.36328327,53.9265269,31.71018983,2.631598054,3.353860873,4.407419804,2.752834835,167.4807366
S007,Phaeozem,temperate mixed coniferous-broadleaf forest,124.8196556,46.01903889,427.5,4.2,5.32,45.18647767,8.62,6.577120654,40.0204551,6.084798683,1.813969691,17.15498861,1.732389331,476.1900382,9.550266135,106.7495262,29.77004468,42.97421479,27.25574053,6.554609619,1.821389648,0.997652416,2.238951878,15.22062295
S010,Phaeozem,temperate mixed coniferous-broadleaf forest,129.5897667,44.60595278,546.5,4.5,7.14,15.91421006,6.45,8.411120765,22.8950204,2.721994018,2.077788179,35.31838929,3.095283248,458.0399992,14.89701057,100.8449203,6.025477542,35.03930417,58.93521829,1.881269969,2.48629755,1.588302372,2.037587116,84.42713689
S011,Dark-brown soil,temperate mixed coniferous-broadleaf forest,126.0660333,44.52816667,520.3,4.4,6.68,17.10875289,7.23,23.56841667,30.64344303,1.300190991,1.978174354,26.91127114,1.633554478,254.4390482,8.257889277,510.1296577,26.6017789,57.2329789,16.1652422,2.90557019,3.840018797,1.714969756,2.151118488,59.02351841
S013,Dark-brown soil,temperate mixed coniferous-broadleaf forest,123.8309667,44.2441,470,4.9,3.15,9.117550944,9.036666667,18.78162297,16.88452577,0.898991839,2.424605788,28.21049489,1.383378041,128.9715655,5.705579225,112.6772149,17.06092201,34.91666068,48.02241731,1.0824358,1.423862175,0.990112366,1.215219287,91.47077046
S015,Dark-brown soil,temperate mixed coniferous-broadleaf forest,126.0384,44.10463333,573.2,4.7,4.08,20.15239262,6.2,24.75895535,29.27471846,1.182389081,3.194250746,33.10856588,2.677598584,315.2551292,8.382556026,103.9424507,12.07954117,63.65167462,24.26878421,1.884936729,2.491143561,5.783306475,1.486974908,306.817008
