,S001,S005,S008,S009,S010,S011,S013,S018,S019,S021,S023,S024,S025,S026,S027,S028,S029,S033,S034,S037,S044,S046,S049,S064,S065,S066,S069,S070,S072,S081,S082,S083,S084,S086,S090,S094,S098,S100,S107
Candidatus Nitrososphaera gargensis,0,5,10,5,20,30,0,98,54,15,25,0,64,0,30,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,5
Candidatus Nitrosocosmicus oleophilus,0,0,5,0,34,20,0,89,69,5,25,0,49,0,20,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Candidatus Nitrososphaera evergladensis,0,0,0,0,0,15,0,59,39,0,20,0,5,0,10,5,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,5,5,0,0,0,0,0,0
Candidatus Nitrosocosmicus franklandus,0,0,10,0,0,0,0,49,20,0,20,0,34,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Halapricum desulfuricans,0,10,10,0,0,10,0,0,5,0,10,5,0,0,5,0,5,0,0,0,0,20,15,0,5,5,0,5,5,5,0,5,5,5,0,0,10,0,0
Halobaculum sp. DT31,0,10,0,5,20,0,0,10,5,0,5,5,0,0,5,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,5,0,5,15,0,5
Salinigranum rubrum,0,5,5,0,0,0,0,10,5,0,0,0,0,0,10,5,0,10,15,0,0,0,10,0,5,0,5,5,0,0,0,0,5,0,0,10,0,5,0
Halovivax cerinus,0,0,5,0,20,5,15,0,5,0,0,0,0,0,5,0,0,10,0,5,0,5,5,0,0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
Halomarina sp. PSR21,0,0,10,5,20,5,0,0,0,0,0,0,0,0,0,5,0,10,0,5,0,0,10,0,0,5,0,5,0,0,5,0,5,0,0,0,5,5,5
Halobaculum salinum,0,10,5,0,0,5,0,0,10,0,0,0,5,0,0,0,5,0,15,0,0,0,5,0,5,0,5,5,0,5,5,0,0,0,0,5,0,5,10
Haloplanus aerogenes,25,5,0,5,0,5,0,10,0,0,0,0,0,0,5,0,0,25,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0
Haloglomus sp. DT116,0,0,0,0,20,5,0,0,5,0,0,0,5,5,0,0,0,10,0,5,0,0,0,0,0,5,0,10,0,5,5,5,5,0,0,5,0,5,0
Natrinema sp. SYSU A 869,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,10,0,0,10,5,0,5,5,5,0,0,5,5,5,0,0,5,0,0
Halomicrobium salinisoli,0,5,0,0,0,5,0,0,10,0,0,0,0,0,10,0,0,0,0,0,25,5,5,0,0,0,5,5,5,0,0,0,5,0,0,5,0,5,0
Halorubrum sp. CBA1229,0,0,0,0,0,5,0,10,10,0,0,0,0,0,5,5,0,0,15,5,0,0,0,0,0,0,0,5,0,0,10,0,0,5,0,5,0,5,0
Candidatus Nitrosocosmicus hydrocola,0,0,0,0,0,0,0,49,20,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Halovivax sp. WLHSJ27,0,0,0,0,0,5,0,10,5,0,20,0,5,0,5,5,0,0,0,5,0,0,0,0,0,5,0,0,0,0,5,0,5,0,0,0,5,10,0
Halobaculum sp. SYNS20,0,0,0,0,20,5,0,0,5,0,10,0,5,0,5,5,0,0,0,0,0,5,5,5,0,5,0,0,0,0,5,5,0,0,0,0,5,0,0
Halobaculum halophilum,0,0,0,0,0,0,15,0,0,5,0,0,0,5,10,5,0,10,0,10,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,5,10,0
Halorientalis marina,0,15,5,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0,5,5,5,5,5,0,0,0,5,0,0,0,10,5,0
Halosolutus halophilus,0,0,0,0,0,0,0,10,10,0,0,0,0,0,5,5,0,20,0,5,0,0,0,5,5,0,0,5,0,0,5,0,0,0,0,0,0,5,5
Halomarina sp. BND7,0,0,5,0,0,0,15,0,10,0,5,0,0,0,5,0,0,0,0,0,0,0,10,0,5,5,0,0,0,0,0,5,5,0,5,0,5,5,0
Natronomonas salina,0,0,0,0,0,5,0,0,10,0,0,0,0,0,10,5,0,0,10,5,0,0,5,5,5,0,0,0,0,5,5,0,5,0,0,0,0,5,0
Halarchaeum sp. CBA1220,0,0,5,0,0,5,0,0,5,0,0,0,5,0,0,0,0,10,10,0,10,0,0,0,0,5,0,5,0,0,5,5,5,0,0,0,0,0,0
