,S001,S005,S008,S009,S010,S011,S013,S018,S019,S021,S023,S024,S025,S026,S027,S028,S029,S033,S034,S037,S044,S046,S049,S064,S065,S066,S069,S070,S072,S081,S082,S083,S084,S086,S090,S094,S098,S100,S107
Enterococcus faecium,38924,2344,2127,2989,8967,1743,7859,3821,1704,2871,2191,1453,2762,753,1384,940,2772,6682,3619,2034,7159,3073,2442,2565,1236,1236,1088,970,1920,1103,1453,1305,1285,2324,1467,3068,2733,1300,3787
Lactococcus piscium,443,4318,2511,4914,5781,2876,14083,187,2945,4624,1915,1773,6327,1679,1669,1718,5672,1403,4057,4727,6032,6583,3880,2767,1177,1620,1231,1546,2679,2048,2753,2137,1896,5672,1600,4653,3969,2570,15
Bacillus cereus,25,665,419,4530,857,428,2309,1359,1940,817,596,2556,3018,542,305,1458,1123,177,1157,1492,744,4486,699,5042,2295,1802,1566,1654,3378,1428,906,1778,1024,2851,2693,5436,4481,591,5
Bradyrhizobium erythrophlei,0,69,2058,212,69,94,113,881,492,172,2620,30,182,3156,192,167,69,0,1128,551,1561,148,842,162,1595,399,6061,507,5411,3097,606,2964,1246,1113,128,25,30,207,911
Bacillus thuringiensis,0,310,251,2137,384,266,1073,394,768,345,227,1334,1398,241,128,714,616,64,483,837,286,2226,227,2684,1231,847,763,867,1645,704,423,876,463,1502,1512,2821,2295,310,5
Lactococcus raffinolactis,94,463,167,2536,419,256,817,108,359,606,167,1915,1128,182,148,596,483,187,428,433,483,1379,330,2556,1192,729,936,571,1305,409,291,547,241,542,1792,2063,1462,266,0
Stutzerimonas stutzeri,94,611,74,2674,20,192,34,15,59,1546,483,591,847,315,74,1334,256,364,217,113,985,2034,30,1541,1842,517,335,2107,630,177,94,650,89,1320,4673,1270,158,197,192
Bradyrhizobium sp. 170,0,231,1073,286,177,138,98,1236,822,167,783,15,103,571,689,103,49,20,276,74,231,30,123,25,98,54,94,74,192,113,49,158,123,222,39,0,5,44,143
Lactococcus cremoris,0,118,39,1945,103,89,320,34,123,197,30,1561,453,84,34,419,197,25,128,153,59,758,108,2487,1024,689,773,414,1098,271,89,492,54,172,1467,1684,1059,94,0
Lactococcus carnosus,69,478,266,753,507,379,1876,15,345,547,192,271,753,227,217,256,714,162,399,630,734,995,458,473,212,236,197,231,404,271,310,295,227,694,207,675,640,291,5
Bradyrhizobium sp. 200,25,113,719,222,89,113,113,591,532,246,694,10,108,507,635,94,39,20,271,74,241,54,148,64,84,39,103,49,138,143,79,172,153,118,74,10,10,25,231
Bradyrhizobium sediminis,0,15,645,113,20,20,34,197,187,64,645,30,84,1083,74,89,44,20,581,158,345,64,187,44,197,74,192,98,291,483,98,517,162,246,74,15,15,84,202
Bacillus paranthracis,25,113,79,911,54,89,305,98,236,158,123,665,517,79,54,281,236,25,153,276,128,744,123,1211,586,340,291,384,709,256,128,310,167,586,684,1206,847,98,0
Clostridium botulinum,94,310,197,635,138,222,79,158,172,522,123,468,487,79,128,217,463,276,256,281,640,497,197,586,300,256,295,177,345,167,192,197,108,394,325,492,310,227,25
Alkaliphilus oremlandii,0,49,25,803,0,39,34,0,10,98,30,1093,231,44,20,217,74,64,39,89,79,364,59,1748,955,305,428,276,601,113,20,227,25,113,1128,970,655,39,0
Bradyrhizobium lablabi,0,10,566,69,34,39,0,295,133,54,547,5,69,1054,39,44,5,10,438,133,300,54,192,59,162,69,143,113,310,409,143,458,261,330,49,5,0,69,177
Burkholderia contaminans,44,261,162,1344,20,177,34,34,217,591,1019,79,537,172,143,25,414,143,25,448,803,276,271,202,266,512,433,74,98,276,84,231,187,74,133,177,25,399,108
Lactococcus lactis,25,128,44,739,192,79,335,25,148,138,59,611,315,69,39,172,123,20,79,177,138,443,84,995,453,340,325,236,483,172,89,236,94,227,625,744,547,64,5
Bradyrhizobium sp. CCBAU 051011,0,374,428,79,123,118,143,443,246,138,414,20,103,468,463,64,158,44,118,39,148,20,79,20,74,34,69,64,162,113,64,103,133,108,30,15,15,34,153
Conexibacter woesei,69,650,305,202,103,551,34,138,217,433,177,84,227,108,635,222,689,551,325,128,138,59,172,39,59,59,20,256,34,138,49,59,20,30,25,202,389,231,123
Bradyrhizobium sp. CB3481,0,39,320,64,20,20,34,320,148,197,335,15,59,379,1280,74,64,10,158,64,162,34,98,15,103,64,113,103,162,138,69,162,69,167,89,10,10,59,207
Rhodoplanes sp. Z2-YC6860,0,25,502,84,54,69,0,300,320,59,192,10,246,98,192,74,138,64,192,197,94,89,379,69,64,34,182,59,113,212,236,404,222,98,20,5,20,172,699
Capillimicrobium parvum,94,596,236,177,54,660,49,113,187,443,79,79,222,84,709,227,768,473,271,94,94,54,153,20,39,59,30,212,20,79,59,34,30,54,25,103,409,241,153
Bradyrhizobium canariense,25,5,291,39,0,5,0,162,123,30,355,5,25,478,64,39,15,0,217,123,148,0,118,30,128,64,153,89,197,315,103,404,182,227,20,0,0,64,143
Enterobacter sp. BIDMC100,350,246,0,566,0,5,463,10,0,965,355,0,896,64,20,0,443,980,0,5,217,0,0,0,0,724,468,0,20,0,0,227,0,0,394,0,0,5,0
Bacillus sp. PGP15,0,69,74,537,69,59,227,49,108,84,64,335,300,64,49,167,103,54,94,172,138,478,103,532,271,162,177,143,389,133,108,158,69,305,325,556,404,69,0
Enterobacter hormaechei,350,276,5,507,0,0,660,15,10,817,320,0,872,59,25,0,350,812,10,5,217,0,0,0,5,497,384,5,20,10,0,217,10,5,266,0,5,5,5
Bradyrhizobium sp. SK17,0,148,182,271,20,64,64,123,118,246,517,64,222,241,118,108,103,20,236,177,423,84,89,74,187,69,177,108,300,177,79,197,128,133,84,69,10,123,143
Bradyrhizobium diazoefficiens,0,30,187,64,0,25,15,89,59,49,241,128,54,428,59,54,39,25,167,138,217,54,128,54,172,108,182,167,359,187,103,251,222,241,59,5,15,84,281
Bradyrhizobium sp. CB82,0,20,251,34,20,30,0,108,79,49,256,30,39,665,69,39,5,0,167,49,300,34,202,44,143,84,153,108,212,167,103,172,394,291,44,15,10,64,409
Alloacidobacterium dinghuense,0,10,54,0,0,25,0,25,69,15,84,0,20,113,5,25,25,10,39,202,379,49,108,64,359,167,172,89,192,537,630,468,748,261,5,15,5,74,108
Mycobacterium sp. JS623,0,25,1305,5,69,5,15,59,54,236,34,10,64,44,39,69,5,10,10,10,25,5,10,5,5,10,30,89,103,15,10,10,0,10,10,0,5,20,10
Paraburkholderia caffeinilytica,0,0,0,0,0,5,0,15,10,5,25,0,5,10,5,10,0,0,15,5,0,5,0,5,158,15,10,20,49,10,15,5,10,0,0,0,0,10,10
Luteitalea pratensis,0,79,172,212,34,291,34,689,473,64,217,15,84,59,256,84,315,167,25,123,34,118,39,98,30,34,34,15,15,34,74,44,64,10,5,15,34,69,241
