,S001,S009,S005,S008,S010,S011,S013,S019,S018,S021,S023,S024,S025,S026,S027,S028,S029,S034,S033,S037,S044,S046,S049,S064,S065,S066,S069,S070,S072,S081,S082,S083,S084,S086,S090,S094,S098,S100,S107
acdA,1,10,89,112,10,115,5,86,57,67,84,126,61,120,107,188,54,78,86,99,24,84,119,73,195,195,235,273,152,208,203,185,113,130,96,172,124,247,84
acdB,0,0,2,9,1,4,1,0,3,6,5,11,1,16,6,12,2,5,2,7,3,6,11,4,9,12,13,14,15,13,14,14,8,6,15,6,1,5,3
ackA,2,7,11,24,3,19,2,21,16,9,16,15,11,35,14,21,11,13,12,19,14,13,32,16,41,27,29,49,27,28,35,33,42,29,21,32,22,45,18
acs,0,7,50,55,9,64,6,58,32,26,46,46,29,71,70,100,36,57,40,83,17,51,79,42,148,108,138,154,113,144,102,88,94,73,52,95,91,139,51
acsD,0,1,5,4,2,6,0,2,2,3,1,1,2,5,3,7,0,2,2,1,0,2,4,1,4,7,2,2,1,7,3,5,2,3,0,4,4,8,1
amoA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,0
amoB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
amoC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
apgM,0,0,5,2,2,2,0,6,2,1,2,0,0,3,3,6,0,1,2,2,0,1,3,2,3,2,0,2,0,0,4,1,0,1,3,3,5,4,1
cooF,0,1,2,5,0,6,0,5,1,3,5,2,3,4,7,7,0,1,3,1,0,4,6,2,5,4,5,4,5,8,7,9,4,0,4,4,3,8,4
cooS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
dcmA,0,0,0,0,0,0,0,0,1,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,1,1,0,0,0,0,1
