,S001,S005,S008,S009,S010,S011,S013,S018,S019,S021,S023,S024,S025,S026,S027,S028,S029,S033,S034,S037,S044,S046,S049,S064,S065,S066,S069,S070,S072,S081,S082,S083,S084,S086,S090,S094,S098,S100,S107
Babesia bigemina,0,409,241,1325,20,276,0,172,202,468,108,724,901,133,197,231,483,320,231,419,689,768,295,970,483,369,453,286,586,261,256,419,79,458,591,965,857,335,30
Homo sapiens,862,94,458,158,34,64,79,286,148,84,256,118,98,537,54,74,1059,3481,49,94,1147,212,98,251,128,103,128,123,148,113,108,113,103,128,123,207,148,89,54
Leishmania mexicana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,0
Rhizoctonia solani,25,0,0,0,20,0,0,0,0,0,5,0,0,0,0,0,0,20,0,0,0,0,0,0,5,5,10,5,5,10,0,10,5,0,0,0,0,5,5
Marasmius oreades,0,0,5,0,20,5,0,0,0,0,5,0,0,0,0,0,0,20,0,0,10,0,5,0,5,0,5,10,10,5,0,5,5,5,0,0,0,0,5
Purpureocillium takamizusanense,0,0,5,0,0,5,0,10,5,10,15,5,5,0,10,0,0,0,0,10,10,0,0,0,0,5,5,5,5,5,5,0,0,0,0,10,0,5,0
Psilocybe cubensis,0,0,0,0,20,5,0,0,10,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,5,5,20,5,5,5,10,5,0,0,0,0,0
Thermothielavioides terrestris,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,5,10,10,10,5,0,5,5,5,0,5,0,15,5,5,5,5,10,5,0,0,0,0,5
Thermothelomyces thermophilus,0,0,0,0,0,5,15,0,10,0,5,0,0,5,5,0,0,0,0,5,0,0,5,5,0,5,5,5,10,0,5,5,0,0,0,5,5,5,5
Drechmeria coniospora,0,0,5,0,0,5,0,0,0,0,10,0,0,0,5,5,5,0,10,5,0,0,10,5,0,5,0,5,0,5,5,0,5,0,0,5,0,5,5
Ustilaginoidea virens,0,0,0,5,0,0,0,10,0,0,0,0,0,0,5,0,0,10,10,5,0,5,0,0,5,10,5,5,10,0,5,0,5,0,0,0,5,0,5
Colletotrichum higginsianum,0,0,0,0,0,0,0,0,10,0,0,0,0,5,10,5,0,0,0,0,0,0,0,0,5,0,5,10,0,5,5,5,5,0,0,10,5,5,5
Fulvia fulva,0,5,0,0,0,0,15,0,5,0,0,0,10,5,5,5,5,0,0,0,10,0,10,0,5,0,0,5,0,0,5,0,0,0,0,0,0,0,5
Besnoitia besnoiti,0,15,0,0,0,0,15,0,10,5,0,0,0,0,5,0,5,10,10,5,0,0,0,0,5,5,0,0,5,0,0,0,0,0,0,0,5,0,0
Neospora caninum,0,0,5,0,0,5,15,0,0,0,5,0,0,0,0,5,0,0,0,5,0,0,10,0,5,5,0,5,0,5,10,0,5,0,0,0,0,5,0
Trichoderma breve,0,5,5,0,0,5,0,0,5,0,5,0,0,0,5,0,0,10,0,0,10,0,0,0,0,0,0,0,5,5,5,0,5,0,0,0,0,0,5
Cercospora beticola,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,5,0,0,0,0,0,0,0,10,5,5,5,10,5,5,0,0,0,0,0,0,5,5
Akanthomyces muscarius,0,10,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0,5,5,0,5,5,0,5,5,0,5,0,5,0
Puccinia triticina,0,5,5,0,0,5,0,0,5,0,0,0,5,5,10,5,0,0,0,0,0,0,0,0,0,5,5,0,0,5,5,0,5,0,0,0,0,0,0
Pyricularia pennisetigena,0,0,5,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,10,5,0,0,5,5,0,5,5,0,0,0,5,0,0,0,0,5,0
Botrytis cinerea,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,10,0,0,0,0,5,5,5,0,0,5,0,0,10,5,0,0,0,0,5,0
Puccinia striiformis,0,0,0,0,0,5,0,10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,5,0,0,0,5,10,0
Toxoplasma gondii,0,5,5,0,0,0,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,5,0,5,5,0,0,0,0,5,0,0,5,0,0,0,5,5,0
Neurospora crassa,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,0,0,5,5,5,0,5,0,0,0,0,0,0,5,5
Colletotrichum lupini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,5,5,5,0,10,0,0,0,0,15,0,0,5
Penicillium oxalicum,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,15,0,0,5,0,5,0,0,10,5,0,0,0,5,0,0,0,0,5,0
Fusarium falciforme,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,10,0,0,0,5,0,0,0,0,5,5,0,0,0,0,0,0,10,0
Fusarium keratoplasticum,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,5,0,0,0,0,5,5,0,5,0,0,0,0,0,0,5,5
