,td,sita,p,Group
S001,43.32,5.97,0.84,High_latitude
S004,27.07,10.87,1.7,High_latitude
S005,25.09,8.41,1.55,High_latitude
S008,28.07514847,5.328159065,0.999645266,High_latitude
S009,20.59959833,3.195199203,0.945824562,High_latitude
S010,29.37,7.8,1.19,High_latitude
S011,16.83,3.1,0.98,High_latitude
S013,20.6,3.2,0.95,High_latitude
S018,25.04,4.86,0.99,High_latitude
S019,21,5.73,1.2,High_latitude
S021,31.84848495,9.860222682,1.335012074,High_latitude
S023,20.16965169,4.21161191,1.035242027,High_latitude
S024,12.92871503,2.418667631,1.00358767,High_latitude
S025,7.71,1.04,0.79,High_latitude
S026,5.98,1.29,1.09,High_latitude
S027,9.46,1.7,0.92,High_latitude
S028,23.63,6.22,1.24,High_latitude
S029,24.14731015,6.569843495,1.278812213,High_latitude
S033,25.66,8.06,1.32,High_latitude
S034,23.58,6.46,1.22,High_latitude
S037,31.96,3.5,0.77,High_latitude
S044,22.14,3.32,0.89,Low_latitude
S046,19.71,6.49,1.51,Low_latitude
S049,23.74,3.74,0.91,Low_latitude
S064,9.39,2.84,1.2,Low_latitude
S065,11.12,2.99,1.14,Low_latitude
S066,8.57,2.14,0.96,Low_latitude
S069,9.33,2.12,0.98,Low_latitude
S070,9.79,2.12,0.79,Low_latitude
S072,12.38,1.36,0.66,Low_latitude
S081,4.31,0.55,0.66,Low_latitude
S082,6.651967641,2.120009206,1.253654922,Low_latitude
S083,4.6,1.29,1.15,Low_latitude
S084,5.5,1.12,0.81,Low_latitude
S086,1.98,0.47,0.9,Low_latitude
S090,5.86,1.99,1.08,Low_latitude
S094,16.25,3.54,0.96,Low_latitude
S098,9.94,0.1,0.32,Low_latitude
S100,5.33,0.09,0.34,Low_latitude
S107,16.1524005,3.141814304,0.987250731,Low_latitude
